1,1992 Summer,Barcelona,1992
2,2012 Summer,London,2012
3,1920 Summer,Antwerpen,1920
4,1900 Summer,Paris,1900
5,1988 Winter,Calgary,1988
6,1992 Winter,Albertville,1992
7,1994 Winter,Lillehammer,1994
8,1932 Summer,Los Angeles,1932
9,2002 Winter,Salt Lake City,2002
10,1952 Summer,Helsinki,1952
11,1980 Winter,Lake Placid,1980
12,2000 Summer,Sydney,2000
13,1996 Summer,Atlanta,1996
14,1912 Summer,Stockholm,1912
15,1924 Summer,Paris,1924
16,2014 Winter,Sochi,2014
17,1948 Summer,London,1948
18,1998 Winter,Nagano,1998
19,2006 Winter,Torino,2006
20,2008 Summer,Beijing,2008
21,2016 Summer,Rio de Janeiro,2016
22,2004 Summer,Athina,2004
23,1960 Winter,Squaw Valley,1960
24,1964 Winter,Innsbruck,1964
25,1984 Winter,Sarajevo,1984
26,1984 Summer,Los Angeles,1984
27,1968 Summer,Mexico City,1968
28,1972 Summer,Munich,1972
29,1988 Summer,Seoul,1988
30,1936 Summer,Berlin,1936
31,1952 Winter,Oslo,1952
32,1956 Winter,Cortina d'Ampezzo,1956
33,1956 Summer,Melbourne,1956
34,1960 Summer,Roma,1960
35,1928 Summer,Amsterdam,1928
36,1976 Summer,Montreal,1976
37,1980 Summer,Moskva,1980
38,1964 Summer,Tokyo,1964
39,2010 Winter,Vancouver,2010
40,1968 Winter,Grenoble,1968
41,1906 Summer,Athina,1906
42,1972 Winter,Sapporo,1972
43,1976 Winter,Innsbruck,1976
44,1924 Winter,Chamonix,1924
45,1904 Summer,St. Louis,1904
46,1928 Winter,Sankt Moritz,1928
47,1908 Summer,London,1908
48,1948 Winter,Sankt Moritz,1948
49,1932 Winter,Lake Placid,1932
50,1936 Winter,Garmisch-Partenkirchen,1936
51,1896 Summer,Athina,1896
